
2025-12-27 22:18:28,394 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/chennai "HTTP/1.1 200 OK"
2025-12-27 22:18:28,904 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/agra "HTTP/1.1 200 OK"
2025-12-27 22:18:29,416 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/agartala "HTTP/1.1 200 OK"
2025-12-27 22:18:29,995 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/ahmedabad "HTTP/1.1 200 OK"
2025-12-27 22:18:31,205 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/amaravati "HTTP/1.1 200 OK"
2025-12-27 22:18:31,707 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/amritsar "HTTP/1.1 200 OK"
2025-12-27 22:18:32,246 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/bareilly "HTTP/1.1 200 OK"
2025-12-27 22:18:32,821 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/bhubaneswar "HTTP/1.1 200 OK"
2025-12-27 22:18:33,355 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/bhopal "HTTP/1.1 200 OK"
2025-12-27 22:18:33,865 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/chandigarh "HTTP/1.1 200 OK"
2025-12-27 22:18:34,383 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/aurangabad "HTTP/1.1 200 OK"
2025-12-27 22:18:34,892 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/coimbatore "HTTP/1.1 200 OK"
2025-12-27 22:18:35,486 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/cuttack "HTTP/1.1 200 OK"
2025-12-27 22:18:35,960 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/dehradun "HTTP/1.1 200 OK"
2025-12-27 22:18:36,628 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/erode "HTTP/1.1 200 OK"
2025-12-27 22:18:37,095 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/faridabad "HTTP/1.1 200 OK"
